"Texture	        theta_r	theta_e	alpha (cm^-1)	n	Ks (cm/h)"
"Clay"	                0.022942999999999998	0.45852499999999996	0.25877123588027656	1.7153555000000003	0.0022816551203053196
"Clay"	                0.084613	0.427425	0.2053411547605976	2.6727445000000003	6.393666804824281
"Clay"	                0.041451	0.661475	0.024444434798090022	2.5055845000000003	2.813519956609979
"loam"	        	0.078	0.43	0.036	1.56	1.04
"silt"	        	0.034	0.46	0.016	1.37	0.25
"silt_loam"	        0.067	0.45	0.02	1.41	0.45
"sandy_clay_loam"	0.1	0.39	0.059	1.48	1.31
"clay_loam"	        0.095	0.41	0.019	1.31	0.26
"silty_clay_loam"	0.089	0.43	0.01	1.23	0.07
"sandy_clay"	        0.1	0.38	0.027	1.23	0.12
"silty_clay"		0.07	0.36	0.005	1.09	0.02
"clay"	        	0.068	0.38	0.008	1.09	0.2
